model,step,tokens_b,loss,l2,ce,plan,lr,sps,log_path
ordered,17600,0.5767168,1.5314,0.6909,0.1772,0.9392,0.000231,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,17700,0.5799936,1.5241,0.6898,0.1713,0.9303,0.000233,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,17800,0.5832704,1.5321,0.6903,0.1609,0.9349,0.000234,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,17900,0.5865472,1.5345,0.6892,0.1654,0.9407,0.000235,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,18000,0.589824,1.5289,0.6947,0.17,0.9297,0.000237,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,18100,0.5931008,1.5309,0.6921,0.1788,0.9393,0.000238,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,18200,0.5963776,1.5155,0.687,0.1758,0.9292,0.000239,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,18300,0.5996544,1.5193,0.6926,0.1673,0.9265,0.00024,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,18400,0.6029312,1.5145,0.6889,0.1737,0.9232,0.000242,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,18500,0.606208,1.5181,0.6932,0.1677,0.926,0.000243,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,18600,0.6094848,1.511,0.6934,0.1717,0.9197,0.000244,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,18700,0.6127616,1.5083,0.6833,0.1646,0.9191,0.000246,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,18800,0.6160384,1.5099,0.6926,0.1706,0.9149,0.000247,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,18900,0.6193152,1.5035,0.6873,0.1762,0.9112,0.000248,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,19000,0.622592,1.5145,0.6901,0.1647,0.9142,0.00025,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,19100,0.6258688,1.503,0.695,0.1736,0.9052,0.000251,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
