step,loss,l2,ce,plan,lr,sps
39800,0.9978,0.6906,0.1781,0.4006,0.000523,3.3
39900,0.9941,0.6889,0.1789,0.4021,0.000524,3.3
40000,0.9996,0.6939,0.179,0.4005,0.000526,3.3
40100,1.0012,0.6869,0.1683,0.401,0.000527,3.3
40200,0.9905,0.6905,0.1794,0.3989,0.000528,3.2
40300,0.979,0.6875,0.176,0.3906,0.00053,3.3
40400,0.9931,0.6962,0.1696,0.3929,0.000531,3.2
40500,0.9989,0.6881,0.1719,0.4019,0.000532,3.2
40600,0.9815,0.6904,0.176,0.3891,0.000534,3.3
40700,0.9833,0.6893,0.1719,0.3931,0.000535,3.3
40800,0.9875,0.6918,0.1763,0.3893,0.000536,3.3
40900,0.9864,0.6937,0.1739,0.3902,0.000538,3.2
41000,0.9876,0.6897,0.1766,0.392,0.000539,3.3
41100,0.973,0.6907,0.1832,0.3824,0.00054,3.2
41200,0.9718,0.6879,0.1789,0.3874,0.000542,3.2
41300,0.9875,0.6893,0.1793,0.3867,0.000543,3.3
41400,0.986,0.6893,0.172,0.39,0.000544,3.3
41500,0.9771,0.688,0.1725,0.3839,0.000545,3.3
41600,0.9798,0.6914,0.1758,0.3877,0.000547,3.2
41700,0.9762,0.6894,0.1817,0.3818,0.000548,3.3
41800,0.9826,0.6918,0.1739,0.3844,0.000549,3.3
41900,0.9696,0.6876,0.1745,0.3765,0.000551,3.3
42000,0.975,0.6965,0.1755,0.3819,0.000552,3.3
42100,0.9849,0.6921,0.1704,0.3881,0.000553,3.2
42200,0.9696,0.6906,0.1802,0.3782,0.000555,3.3
42300,0.9624,0.6884,0.1697,0.3708,0.000556,3.3
42400,0.9729,0.6938,0.1716,0.3703,0.000557,3.3
42500,0.9722,0.6958,0.1715,0.3698,0.000559,3.2
42600,0.9666,0.691,0.172,0.3708,0.00056,3.3
42700,0.9634,0.6946,0.1797,0.3675,0.000561,3.2
42800,0.9736,0.691,0.1813,0.3791,0.000563,3.3
42900,0.9616,0.6956,0.1757,0.3656,0.000564,3.2
43000,0.9673,0.6887,0.1781,0.3763,0.000565,3.3
43100,0.9762,0.6971,0.1695,0.3743,0.000566,3.3
43200,0.9636,0.686,0.1709,0.3675,0.000568,3.3
43300,0.9578,0.6897,0.1747,0.3646,0.000569,3.3
43400,0.968,0.689,0.1772,0.3704,0.00057,3.3
43500,0.9632,0.6892,0.1768,0.3699,0.000572,3.2
