step,optimizer_step_est,tokens_b,progress,loss,l2,ce,plan,lr,sps
19200,1200.0,0.6291456,12.582573136206355,1.5005,0.6921,0.1715,0.9097,0.000252,3.2
19300,1206.25,0.6324224,12.648107371290763,1.5059,0.6918,0.1844,0.9116,0.000254,3.2
19400,1212.5,0.6356992,12.71364160637517,1.5023,0.6925,0.1732,0.9077,0.000255,3.2
19500,1218.75,0.638976,12.779175841459578,1.4969,0.6886,0.1696,0.9066,0.000256,3.2
19600,1225.0,0.6422528,12.844710076543986,1.5,0.6853,0.1715,0.9041,0.000258,3.3
19700,1231.25,0.6455296,12.910244311628393,1.4915,0.6926,0.1787,0.8975,0.000259,3.2
19800,1237.5,0.6488064,12.975778546712801,1.4835,0.6934,0.1709,0.8908,0.00026,3.3
19900,1243.75,0.6520832,13.04131278179721,1.4932,0.6885,0.1688,0.8959,0.000261,3.2
20000,1250.0,0.65536,13.106847016881618,1.482,0.6886,0.1727,0.889,0.000263,3.2
20100,1256.25,0.6586368,13.172381251966028,1.4766,0.6852,0.1734,0.8859,0.000264,3.2
20200,1262.5,0.6619136,13.237915487050437,1.4794,0.6914,0.1659,0.8844,0.000265,3.2
20300,1268.75,0.6651904,13.303449722134845,1.4852,0.694,0.1632,0.8887,0.000267,3.2
20400,1275.0,0.6684672,13.368983957219251,1.4811,0.688,0.1693,0.8849,0.000268,3.2
20500,1281.25,0.671744,13.43451819230366,1.4744,0.6935,0.1728,0.8777,0.000269,3.3
20600,1287.5,0.6750208,13.500052427388068,1.4688,0.6911,0.1688,0.8754,0.000271,3.2
20700,1293.75,0.6782976,13.565586662472477,1.4684,0.6919,0.1751,0.8761,0.000272,3.2
20800,1300.0,0.6815744,13.631120897556883,1.472,0.6918,0.1737,0.8756,0.000273,3.2
20900,1306.25,0.6848512,13.696655132641292,1.4547,0.6888,0.1756,0.8646,0.000275,3.2
21000,1312.5,0.688128,13.7621893677257,1.4566,0.6893,0.1758,0.8661,0.000276,3.2
21100,1318.75,0.6914048,13.827723602810108,1.4625,0.6887,0.171,0.8699,0.000277,3.2
21200,1325.0,0.6946816,13.893257837894515,1.4583,0.6922,0.1665,0.8581,0.000279,3.2
21300,1331.25,0.6979584,13.958792072978923,1.4587,0.6917,0.168,0.8589,0.00028,3.2
21400,1337.5,0.7012352,14.024326308063332,1.4563,0.6923,0.1665,0.8592,0.000281,3.2
21500,1343.75,0.704512,14.08986054314774,1.442,0.6933,0.1789,0.8489,0.000282,3.2
21600,1350.0,0.7077888,14.155394778232147,1.4453,0.6923,0.1709,0.8494,0.000284,3.2
21700,1356.25,0.7110656,14.220929013316558,1.4435,0.6904,0.1641,0.8485,0.000285,3.2
21800,1362.5,0.7143424,14.286463248400965,1.4402,0.6898,0.1747,0.843,0.000286,3.3
21900,1368.75,0.7176192,14.351997483485373,1.4338,0.6931,0.1679,0.8379,0.000288,3.2
22000,1375.0,0.720896,14.417531718569782,1.4257,0.6864,0.1652,0.8339,0.000289,3.2
22100,1381.25,0.7241728,14.48306595365419,1.4274,0.6898,0.1712,0.8337,0.00029,3.2
22200,1387.5,0.7274496,14.548600188738597,1.423,0.6926,0.1733,0.8286,0.000292,3.2
22300,1393.75,0.7307264,14.614134423823005,1.4146,0.6859,0.1728,0.8244,0.000293,3.3
22400,1400.0,0.7340032,14.679668658907413,1.4177,0.6909,0.1724,0.824,0.000294,3.2
22500,1406.25,0.73728,14.745202893991822,1.4147,0.6912,0.1698,0.8182,0.000296,3.2
22600,1412.5,0.7405568,14.810737129076228,1.4081,0.6867,0.1732,0.8169,0.000297,3.2
22700,1418.75,0.7438336,14.876271364160637,1.4049,0.6897,0.1724,0.8126,0.000298,3.2
22800,1425.0,0.7471104,14.941805599245045,1.406,0.6912,0.1692,0.8133,0.0003,3.3
22900,1431.25,0.7503872,15.007339834329454,1.3914,0.6858,0.1726,0.8048,0.000301,3.2
23000,1437.5,0.753664,15.07287406941386,1.4089,0.6963,0.1783,0.8122,0.000302,3.2
23100,1443.75,0.7569408,15.138408304498268,1.3922,0.6919,0.1731,0.798,0.000304,3.2
23200,1450.0,0.7602176,15.203942539582677,1.3808,0.6863,0.1742,0.7933,0.000305,3.2
23300,1456.25,0.7634944,15.269476774667087,1.3923,0.694,0.1741,0.7946,0.000306,3.2
23400,1462.5,0.7667712,15.335011009751495,1.3856,0.6897,0.1636,0.7893,0.000308,3.2
23500,1468.75,0.770048,15.400545244835904,1.3803,0.6877,0.1688,0.7882,0.000309,3.2
23600,1475.0,0.7733248,15.46607947992031,1.3859,0.6927,0.1652,0.7882,0.00031,3.2
23700,1481.25,0.7766016,15.531613715004719,1.3757,0.6866,0.1696,0.7865,0.000312,3.2
23800,1487.5,0.7798784,15.597147950089127,1.3684,0.6899,0.1686,0.7724,0.000313,3.2
23900,1493.75,0.7831552,15.662682185173535,1.3668,0.6906,0.1716,0.776,0.000314,3.2
24000,1500.0,0.786432,15.728216420257942,1.3659,0.6913,0.1673,0.7669,0.000316,3.2
24100,1506.25,0.7897088,15.79375065534235,1.3615,0.6928,0.1736,0.7641,0.000317,3.2
24200,1512.5,0.7929856,15.859284890426759,1.3529,0.687,0.1764,0.7639,0.000318,3.2
24300,1518.75,0.7962624,15.924819125511167,1.349,0.6881,0.1768,0.7587,0.000319,3.2
24400,1525.0,0.7995392,15.990353360595574,1.3461,0.6924,0.1719,0.7544,0.000321,3.2
24500,1531.25,0.802816,16.055887595679984,1.3497,0.6896,0.1709,0.7499,0.000322,3.2
24600,1537.5,0.8060928,16.12142183076439,1.3443,0.6897,0.1721,0.7544,0.000323,3.2
24700,1543.75,0.8093696,16.186956065848797,1.3406,0.6921,0.1699,0.7449,0.000325,3.2
24800,1550.0,0.8126464,16.252490300933207,1.3334,0.6933,0.1729,0.7397,0.000326,3.3
24900,1556.25,0.8159232,16.318024536017617,1.3361,0.697,0.1676,0.735,0.000327,3.3
25000,1562.5,0.8192,16.383558771102024,1.3423,0.6976,0.1622,0.7358,0.000329,3.2
25100,1568.75,0.8224768,16.449093006186434,1.3275,0.6873,0.1724,0.7368,0.00033,3.2
